external_directory_id,locz_pincode_code,pincode,pincode_confidence,pincode_method,display_name,resolved_name,slug,business_type,category,subcategory,description,public_phone,phone_line_type,whatsapp_available,public_email,website,address_line_1,address_line_2,locality,mandal,city,district,state,country,latitude,longitude,location_accuracy,opening_hours,source_type,source_name,source_record_id,source_url,licence_name,attribution_text,confidence_score,completeness_score,freshness_score,tier,claim_status,verification_status,publication_type,products_disabled,offers_disabled,reviews_disabled,owner_contact_unconfirmed,last_seen_at
ovt:a7ad5d99-2aea-499c-8ff9-ce72768fa2f7,500002,500002,0.97,exact_source_pincode,Pramod Kumar & Co.,Pramod Kumar & Co.,,RETAIL_STORE,agricultural-supplies,,,+919246361765,mobile,,mohitkumaragarawal@yahoo.com,,"Mir Alam Mandi Road, Miralam Mandi, Hyderabad 500002, India",,Purani Haveli,,,Hyderabad,Telangana,IN,17.3653,78.47852,exact_storefront,,overture,Overture Maps — Places (India),ovt:a7ad5d99-2aea-499c-8ff9-ce72768fa2f7,,CDLA-Permissive-2.0,© Overture Maps Foundation,85,80,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:b2054dbb-5710-48a8-8120-a107492a589f,500002,500002,0.97,exact_source_pincode,Sthirta Enterprises,Sthirta Enterprises,,RETAIL_STORE,automobile-services,,,+919990428181,mobile,,info@sthirta.com,http://www.sthirta.com/,21-4-207 Lad Bazar Road,,Hyderabad,,,Hyderabad,Telangana,IN,17.3618,78.4738,exact_storefront,,overture,Overture Maps — Places (India),ovt:b2054dbb-5710-48a8-8120-a107492a589f,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:d5a0f383-42c5-4389-9e91-27eb6040a886,500002,500002,0.97,exact_source_pincode,Shri Shyam Automotive,Shri Shyam Automotive,,RETAIL_STORE,automobile-services,,,+918143212966,mobile,,shubhamanna4@gmail.com,http://eashwa.com/,21-1-305/1 Ghansi Bazar near High court Hyderabad,,Riqab Gunj,,,Hyderabad,Telangana,IN,17.3672,78.4726,exact_storefront,,overture,Overture Maps — Places (India),ovt:d5a0f383-42c5-4389-9e91-27eb6040a886,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:5a5a4449-8600-461c-acfb-1cac82a34173,500002,500002,0.97,exact_source_pincode,Fizaah Travels and Wedding Cars,Fizaah Travels and Wedding Cars,,RETAIL_STORE,automobile-services,,,+919949777773,mobile,,faheem6616@gmail.com,http://www.fizaahgroup.com/,Opposite Mughalpura Fire Station - Mughalpura,,Hyderabad,,,Hyderabad,Telangana,IN,17.3595263,78.4757885,exact_storefront,,overture,Overture Maps — Places (India),ovt:5a5a4449-8600-461c-acfb-1cac82a34173,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:e00797a4-c947-463c-845a-4482e4fa4b6c,500002,500002,0.97,exact_source_pincode,Omer Auto Consultant,Omer Auto Consultant,,RETAIL_STORE,automobile-services,,,+919391561986,mobile,,,,"Beside Petrol Pump, Bibi Bazar X Road",,Alijah Kotla,,,Hyderabad,Telangana,IN,17.35893182,78.4794492,exact_storefront,,overture,Overture Maps — Places (India),ovt:e00797a4-c947-463c-845a-4482e4fa4b6c,,CDLA-Permissive-2.0,© Overture Maps Foundation,85,80,,CONTACTABLE,unclaimed,source_verified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:a3dab8ca-e846-4824-8fad-460413979891,500002,500002,0.97,exact_source_pincode,Sri Ganesh Engine Clinic,Sri Ganesh Engine Clinic,,RETAIL_STORE,automobile-services,,,+919652440524,mobile,,,,Mehandi Gali,,Riqab Gunj,,,Hyderabad,Telangana,IN,17.36707146,78.46888503,exact_storefront,,overture,Overture Maps — Places (India),ovt:a3dab8ca-e846-4824-8fad-460413979891,,CDLA-Permissive-2.0,© Overture Maps Foundation,85,80,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:0921acb8-aa6b-4a8f-8a73-62b2a9fc6c1d,500002,500002,0.97,exact_source_pincode,Doctor Bike,Doctor Bike,,RETAIL_STORE,automobile-services,,,+919618102470,mobile,,,,No 22-3-965,,Noorkhan Bazaar,,,Hyderabad,Telangana,IN,17.36819687,78.4840924,exact_storefront,,overture,Overture Maps — Places (India),ovt:0921acb8-aa6b-4a8f-8a73-62b2a9fc6c1d,,CDLA-Permissive-2.0,© Overture Maps Foundation,85,80,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:0036b71e-78c5-4f57-a318-94dd0968e8e7,500002,500002,0.97,exact_source_pincode,Ibrahim Auto Parts,Ibrahim Auto Parts,,RETAIL_STORE,automobile-services,,,+919642771066,mobile,,,,"23-1-963, Opposite Water Tank, Moghapura",,Moghalpura,,,Hyderabad,Telangana,IN,17.35765718,78.47652726,exact_storefront,,overture,Overture Maps — Places (India),ovt:0036b71e-78c5-4f57-a318-94dd0968e8e7,,CDLA-Permissive-2.0,© Overture Maps Foundation,85,80,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:68288246-1ca7-4928-b40f-8d01fc8fd83b,500002,500002,0.97,exact_source_pincode,Good Luck Motor Driving School,Good Luck Motor Driving School,,RETAIL_STORE,automobile-services,,,+914024568392,landline,,hyderscout.event@gmail.com,,Moghulpura Road,,Moghalpura,,,Hyderabad,Telangana,IN,17.35789977,78.47652416,exact_storefront,,overture,Overture Maps — Places (India),ovt:68288246-1ca7-4928-b40f-8d01fc8fd83b,,CDLA-Permissive-2.0,© Overture Maps Foundation,85,80,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:9f136736-5120-4fe2-9674-ce131c3fdcd7,500002,500002,0.97,exact_source_pincode,Quba Motor Winding Works,Quba Motor Winding Works,,RETAIL_STORE,automobile-services,,,+919908518272,mobile,,,,"A/186, 18-7-198/C/102, Talabkatta Road",,Aman Nagar Colony,,,Hyderabad,Telangana,IN,17.35668239,78.4820522,exact_storefront,,overture,Overture Maps — Places (India),ovt:9f136736-5120-4fe2-9674-ce131c3fdcd7,,CDLA-Permissive-2.0,© Overture Maps Foundation,85,80,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
