external_directory_id,locz_pincode_code,pincode,pincode_confidence,pincode_method,display_name,resolved_name,slug,business_type,category,subcategory,description,public_phone,phone_line_type,whatsapp_available,public_email,website,address_line_1,address_line_2,locality,mandal,city,district,state,country,latitude,longitude,location_accuracy,opening_hours,source_type,source_name,source_record_id,source_url,licence_name,attribution_text,confidence_score,completeness_score,freshness_score,tier,claim_status,verification_status,publication_type,products_disabled,offers_disabled,reviews_disabled,owner_contact_unconfirmed,last_seen_at
ovt:e889ac4c-5260-4649-a6ac-b4a85954c1ec,506001,506001,0.97,exact_source_pincode,Jayveer Agritech Corporation,Jayveer Agritech Corporation,,RETAIL_STORE,agricultural-supplies,,,+919000576669,mobile,,jayveeragritechcorporation@gmail.com,http://www.jayveeragritechcorporation.com/,"1-8-524A, 3rd Floor, Sai Arcade, Johnson House , opp SBI Nakkalagutta, Hanamkonda, Telangana",,Nakkala Gutta,,,Warangal,Telangana,IN,17.99814,79.55519,exact_storefront,,overture,Overture Maps — Places (India),ovt:e889ac4c-5260-4649-a6ac-b4a85954c1ec,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:640c3e0f-8dfc-468b-9a1d-b5097e79b3bb,506001,506001,0.97,exact_source_pincode,Kiran Dairy Farms,Kiran Dairy Farms,,HOSPITALITY,agricultural-supplies,,,,,,,https://ueni.com/en-in/business/hanamkonda-506001/farmers-market/kiran-dairy-farms,"Sri Venkateshwara Chaitanya Colony, Road No:8",,Nakkala Gutta,,,Warangal,Telangana,IN,17.9957348,79.5562701,exact_storefront,,overture,Overture Maps — Places (India),ovt:640c3e0f-8dfc-468b-9a1d-b5097e79b3bb,,CDLA-Permissive-2.0,© Overture Maps Foundation,75,70,,LOCATABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:a37d33ff-607c-446c-9452-0c57a0461416,506001,506001,0.8,nearest_named_place,Rk Agro Agencies,Rk Agro Agencies,,RETAIL_STORE,agricultural-supplies,,,+918106382972,mobile,,rkagroagencies2020@gmail.com,,,,Nakkala Gutta,,,Warangal,Telangana,IN,17.99816,79.55331,exact_storefront,,overture,Overture Maps — Places (India),ovt:a37d33ff-607c-446c-9452-0c57a0461416,,CDLA-Permissive-2.0,© Overture Maps Foundation,68,65,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:e894ac2f-5630-49c7-a5f3-59aa2f5f43cb,506001,506001,0.97,exact_source_pincode,Sri Srinivasa Honda,Sri Srinivasa Honda,,RETAIL_STORE,automobile-services,,,+918374357999,mobile,,,https://g.co/kgs/KXcD1q,"opp. : Forest Office, Subedari",,Subedari,,,Warangal,Telangana,IN,17.9868435,79.5463125,exact_storefront,,overture,Overture Maps — Places (India),ovt:e894ac2f-5630-49c7-a5f3-59aa2f5f43cb,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:984fa85c-3ff8-469c-94b3-4065ad1b222a,506001,506001,0.97,exact_source_pincode,MG Motor India,MG Motor India,,RETAIL_STORE,automobile-services,,,+917288885459,mobile,,,https://dealers.mgmotor.co.in/mg-motor-india-car-dealer-dwaraka-nagar-warangal-137226/Home?utm_source=locator&utm_medium=bing,"Shyampet, Dwaraka Nagar",,Shyampet,,,Warangal,Telangana,IN,17.987754,79.571318,exact_storefront,,overture,Overture Maps — Places (India),ovt:984fa85c-3ff8-469c-94b3-4065ad1b222a,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:1b062fcf-0543-4f43-9923-ced101250190,506001,506001,0.97,exact_source_pincode,New Holland,New Holland,,RETAIL_STORE,automobile-services,,,+918897913456,mobile,,,https://location-data-api.singleinterface.com/storepages/new-holland-vs-tractors-tractor-dealer-paidipally-hanamkonda-488258,No 47/5/988,,Paidipalle,,,Warangal,Telangana,IN,18.0240801,79.6042601,exact_storefront,,overture,Overture Maps — Places (India),ovt:1b062fcf-0543-4f43-9923-ced101250190,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:15d950d7-3f69-4c77-99d3-019457997007,506001,506001,0.97,exact_source_pincode,Royal Enfield Showroom - Quality Automobiles,Royal Enfield Showroom - Quality Automobiles,,RETAIL_STORE,automobile-services,,,+918879146770,mobile,,,https://www.royalenfield.com/?utm_source=dealer_locator&utm_medium=brand_website&utm_source=locator&utm_medium=bing,"No 24/7/186/1, Subedari, Main Road, REC NIT, Hanamkonda",,Prashanth Nagar Colony,,,Warangal,Telangana,IN,17.98909111,79.53019111,exact_storefront,,overture,Overture Maps — Places (India),ovt:15d950d7-3f69-4c77-99d3-019457997007,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:d1ed70e5-7535-4572-87e1-25ec7fd3f82b,506001,506001,0.97,exact_source_pincode,TotalEnergies Quartz Auto Services - Vahana Motors,TotalEnergies Quartz Auto Services - Vahana Motors,,RETAIL_STORE,automobile-services,,,+918978753089,mobile,,,https://totalenergies.in/,"House No 31-3-2088/2, 100 Feet Road, Saptagiri Colony, Opposite Shyamala Grand A/c Function Hall",,Jawaharcolony,,,Warangal,Telangana,IN,18.011378,79.5380908,exact_storefront,,overture,Overture Maps — Places (India),ovt:d1ed70e5-7535-4572-87e1-25ec7fd3f82b,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:12164f4e-e65d-4cee-ab46-aeb3b5b2943f,506001,506001,0.97,exact_source_pincode,MKR Wheels,MKR Wheels,,SERVICE_PROVIDER,automobile-services,,,+918686956502,mobile,,mkrwheels0004@gmail.com,http://Www.mkrwheels.com/,Hanamkonda,,Brahmanawada,,,Warangal,Telangana,IN,18.0020646,79.5802251,exact_storefront,,overture,Overture Maps — Places (India),ovt:12164f4e-e65d-4cee-ab46-aeb3b5b2943f,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
ovt:96d44125-3b75-4181-a3da-d3d917ddec55,506001,506001,0.97,exact_source_pincode,Mahindra Motorline Auto,Mahindra Motorline Auto,,SERVICE_PROVIDER,automobile-services,,,+917799739112,mobile,,mahindramotorline.wgl@gmail.com,http://www.motorlinemahindra.com/,"23-6-150/5, Near Csr Gardens, Hunter Road, Hanmkonda",,Shyampet,,,Warangal,Telangana,IN,17.98185022,79.57928766,exact_storefront,,overture,Overture Maps — Places (India),ovt:96d44125-3b75-4181-a3da-d3d917ddec55,,CDLA-Permissive-2.0,© Overture Maps Foundation,90,90,,CONTACTABLE,unclaimed,unverified,directory_listing,True,True,True,True,2026-08-01 20:13:10.830246+05:30
